iter	Passed	Remaining
517	536	499
518	538	498
519	539	498
520	541	497
521	543	497
522	545	497
523	547	497
524	549	496
525	550	496
526	553	496
527	555	496
528	558	497
529	560	497
530	563	497
531	564	496
532	566	496
533	568	496
534	571	496
535	573	496
536	575	496
537	577	496
538	580	496
539	583	496
540	586	497
541	589	498
542	592	498
543	595	498
544	598	499
545	602	500
546	605	501
547	608	502
548	611	502
549	614	502
550	617	503
551	620	503
552	623	504
553	627	505
554	630	505
555	633	505
556	635	505
557	638	505
558	640	505
559	643	505
560	646	505
561	649	506
562	652	506
563	654	506
564	657	506
565	660	506
566	663	506
567	666	507
568	669	507
569	672	507
570	675	507
571	678	507
572	682	508
573	685	508
574	689	509
575	692	509
576	695	509
577	698	510
578	701	510
579	705	510
580	708	510
581	711	510
582	714	511
583	717	510
584	719	510
585	722	510
586	724	510
587	727	509
588	730	509
589	733	509
590	736	509
591	739	509
592	742	509
593	745	509
594	748	509
595	750	508
596	753	508
597	755	508
598	758	507
599	760	507
600	763	506
601	765	506
602	767	505
603	770	505
604	772	504
605	775	504
606	777	503
607	780	502
608	782	502
609	785	502
610	788	501
611	790	501
612	793	500
613	795	500
614	798	499
615	801	499
616	803	498
617	804	497
618	806	496
619	808	495
620	810	494
621	811	493
622	813	492
623	814	490
624	816	489
625	817	488
626	819	487
627	820	485
628	821	484
629	823	483
630	825	482
631	826	481
632	827	479
633	829	478
634	830	477
635	832	476
636	833	475
637	835	473
638	836	472
639	837	471
640	838	469
641	840	468
642	842	467
643	844	466
644	845	465
645	847	464
646	848	462
647	849	461
648	850	460
649	852	458
650	853	457
651	854	456
652	856	454
653	857	453
654	858	452
655	859	450
656	860	449
657	862	448
658	863	446
659	864	445
660	865	444
661	867	442
662	868	441
663	869	439
664	871	439
665	873	437
666	874	436
667	875	435
668	877	433
669	878	432
670	879	431
671	880	429
672	882	428
673	883	427
674	884	426
675	886	424
676	888	423
677	889	422
678	890	421
679	892	419
680	893	418
681	895	417
682	896	416
683	898	414
684	899	413
685	901	412
686	903	411
687	904	410
688	906	408
689	907	407
690	909	406
691	910	405
692	912	404
693	913	402
694	915	401
695	916	400
696	917	398
697	919	397
698	920	396
699	921	395
700	922	393
701	924	392
702	925	390
703	926	389
704	927	388
705	929	387
706	930	385
707	932	384
708	933	383
709	934	381
710	936	380
711	937	379
712	938	377
713	940	376
714	941	375
715	942	373
716	943	372
717	945	371
718	947	370
719	948	368
720	950	367
721	951	366
722	952	365
723	954	363
724	955	362
725	957	361
726	958	359
727	959	358
728	961	357
729	962	356
730	964	354
731	965	353
732	966	352
733	968	350
734	969	349
735	970	348
736	972	346
737	973	345
738	975	344
739	976	343
740	978	341
741	979	340
742	981	339
743	982	338
744	984	336
745	985	335
746	987	334
747	989	333
748	990	331
749	991	330
750	993	329
751	995	328
752	996	326
753	998	325
754	1000	324
755	1001	323
756	1003	322
757	1005	320
758	1006	319
759	1008	318
760	1010	317
761	1011	316
762	1013	314
763	1014	313
764	1016	312
765	1018	311
766	1019	309
767	1021	308
768	1022	307
769	1024	305
770	1025	304
771	1027	303
772	1028	302
773	1029	300
774	1031	299
775	1032	297
776	1033	296
777	1034	295
778	1036	293
779	1037	292
780	1038	291
781	1040	289
782	1041	288
783	1042	287
784	1043	285
785	1044	284
786	1045	282
787	1046	281
788	1047	280
789	1048	278
790	1049	277
791	1050	275
792	1051	274
793	1052	273
794	1054	271
795	1055	270
796	1057	269
797	1058	267
798	1059	266
799	1061	265
800	1062	263
801	1063	262
802	1064	261
803	1066	259
804	1067	258
805	1069	257
806	1070	256
807	1071	254
808	1073	253
809	1074	252
810	1075	250
811	1076	249
812	1078	247
813	1079	246
814	1080	245
815	1081	243
816	1082	242
817	1083	241
818	1085	239
819	1086	238
820	1087	237
821	1088	235
822	1089	234
823	1090	232
824	1091	231
825	1093	230
826	1094	229
827	1096	227
828	1097	226
829	1098	225
830	1100	223
831	1101	222
832	1102	221
833	1104	219
834	1105	218
835	1106	217
836	1108	215
837	1109	214
838	1110	213
839	1111	211
840	1112	210
841	1113	208
842	1115	207
843	1117	206
844	1118	205
845	1120	203
846	1121	202
847	1123	201
848	1124	199
849	1125	198
850	1126	197
851	1127	195
852	1128	194
853	1130	193
854	1132	191
855	1133	190
856	1134	189
857	1135	187
858	1136	186
859	1137	185
860	1138	183
861	1139	182
862	1140	181
863	1141	179
864	1142	178
865	1143	177
866	1145	175
867	1146	174
868	1147	173
869	1148	171
870	1150	170
871	1151	168
872	1152	167
873	1153	166
874	1154	164
875	1155	163
876	1156	162
877	1157	160
878	1158	159
879	1159	158
880	1161	156
881	1162	155
882	1163	154
883	1165	152
884	1166	151
885	1167	150
886	1168	148
887	1169	147
888	1171	146
889	1172	144
890	1173	143
891	1174	142
892	1176	140
893	1177	139
894	1179	138
895	1180	137
896	1181	135
897	1183	134
898	1184	133
899	1186	131
900	1187	130
901	1188	129
902	1189	127
903	1190	126
904	1192	125
905	1193	123
906	1195	122
907	1196	121
908	1197	119
909	1199	118
910	1200	117
911	1201	115
912	1203	114
913	1204	113
914	1205	112
915	1207	110
916	1208	109
917	1210	108
918	1211	106
919	1212	105
920	1213	104
921	1214	102
922	1216	101
923	1217	100
924	1218	98
925	1219	97
926	1220	96
927	1221	94
928	1223	93
929	1224	92
930	1225	90
931	1226	89
932	1227	88
933	1228	86
934	1229	85
935	1230	84
936	1232	82
937	1233	81
938	1234	80
939	1235	78
940	1236	77
941	1237	76
942	1239	74
943	1240	73
944	1241	72
945	1242	70
946	1243	69
947	1245	68
948	1246	66
949	1247	65
950	1249	64
951	1250	63
952	1251	61
953	1253	60
954	1254	59
955	1256	57
956	1257	56
957	1258	55
958	1259	53
959	1261	52
960	1262	51
961	1263	49
962	1264	48
963	1266	47
964	1267	45
965	1269	44
966	1270	43
967	1271	42
968	1272	40
969	1274	39
970	1275	38
971	1276	36
972	1278	35
973	1279	34
974	1280	32
975	1281	31
976	1283	30
977	1284	28
978	1286	27
979	1287	26
980	1288	24
981	1289	23
982	1290	22
983	1291	21
984	1292	19
985	1293	18
986	1295	17
987	1296	15
988	1297	14
989	1298	13
990	1299	11
991	1301	10
992	1302	9
993	1304	7
994	1305	6
995	1306	5
996	1307	3
997	1309	2
998	1310	1
999	1311	0
